"Coût_chauffage","Surface_habitable_immeuble","Coût_éclairage","Conso_5_usages_é_finale","Date_réception_DPE","Coût_total_5_usages","N°DPE","Code_postal_(BAN)","Surface_habitable_logement","Coût_auxiliaires","Type_bâtiment","Coût_ECS","Conso_5_usages_par_m²_é_primaire","Coût_refroidissement","Etiquette_DPE","_score"
350,116.6,45,2669.8,"2023-11-30",526,"2378N4102548T","69790",116.6,14,"maison",95,52.7,0,"A",49.712532
500.7,NA,53.3,3899.4,"2022-03-04",713.8,"2269N0441340R","69170",156.3,28.4,"maison",131.4,57,0,"A",37.99163
501,120.9,45,3887.1,"2022-07-11",712,"2269N1582509U","69170",120.9,11,"maison",139,74,0,"B",37.99163
362,NA,33.5,2841.8,"2022-07-21",553.3,"2269N1666106B","69170",87.3,31.1,"maison",126.7,74.9,0,"B",37.99163
370,92.3,39,2696.9,"2022-02-07",531,"2269N0237653O","69170",92.3,4,"maison",105,67.2,0,"A",37.99163
605,NA,86,4443,"2022-02-02",971,"2269N0208609M","69170",152.7,54,"maison",226,66.9,0,"A",37.99163
425.6,NA,47.3,3551.5,"2022-07-19",661,"2269N1641895W","69170",117.9,39.1,"maison",128.5,69.3,20.6,"A",37.99163
399,95.6,36,3239.8,"2022-06-14",613,"2269N1319080X","69170",95.6,0,"maison",160,77.9,0,"B",37.99163
121.3,658.3,79.3,4535.4,"2022-12-07",346.2,"2269N2959126P","69170",40.3,31.7,"appartement",166.9,121,0,"C",37.99163
119.2,658.3,77.9,4478.9,"2022-12-07",341.7,"2269N2959134X","69170",39.6,31.2,"appartement",165.5,121.5,0,"C",37.99163
327.1,NA,62.7,5751.6,"2022-06-12",637.3,"2269N1291392Z","69170",125.4,29.7,"maison",217.8,64,0,"A",37.99163
127.7,658.3,83.4,4704.9,"2022-12-07",359.8,"2269N2959131U","69170",42.4,33.4,"appartement",171.1,119.4,0,"C",37.99163
121.3,658.3,79.3,4535.4,"2022-12-07",346.2,"2269N2959136Z","69170",40.3,31.7,"appartement",166.9,121,0,"C",37.99163
125.6,658.3,82,4648.4,"2022-12-07",355.3,"2269N2959139C","69170",41.7,32.8,"appartement",169.7,119.9,0,"C",37.99163
121.9,658.3,79.7,4551.5,"2022-12-07",347.5,"2269N2959133W","69170",40.5,31.9,"appartement",167.3,120.8,0,"C",37.99163
